department_name,Acronym,course_number,Node_name,course_title,prerequisites,Prereaquisites (clean)
Aerospace,Ae,204 ab,Ae 204 ab,Technical Fluid Mechanics,Ae/APh/CE/ME 101 abc or equivalent,Ae 101 abc
Aerospace,Ae,205 ab,Ae 205 ab,Advanced Space Project,Ae105 abc,Ae 105 abc
Aerospace,Ae,208 abc,Ae 208 abc,GALCIT Colloquium,,
Aerospace,Ae,213,Ae 213,Mechanics and Materials Aspects of Fracture,Ae/AM/CE/ME 102 abc (concurrently) or equivalent and instructor's permission,Ae 102 abc
Aerospace,Ae,214,Ae 214,Computational Solid Mechanics,ACM 100 ab or equivalent; CE/AM/Ae 108 ab or equivalent or instructor's permission; Ae/AM/CE/ME 102 abc or instructor's permission,"ACM 95/100 ab, Ae 102 abc, CE 108 ab"
Aerospace,Ae,215,Ae 215,Dynamic Behavior of Materials,ACM 100 abc or AM 125 abc; Ae/AM/CE/ME 102 abc,"ACM 101 ab, Ae 102 abc"
Aerospace,Ae,218,Ae 218,Statistical Mechanics,"Ae/ME 118, or equivalent",Ae 118
Aerospace,Ae,220,Ae 220,Theory of Structures,Ae/AM/CE/ME 102 abc,Ae 102 abc
Aerospace,Ae,221,Ae 221,Space Structures,,
Aerospace,Ae,223,Ae 223,Plasticity,Ae/AM/CE/ME 102 abc or instructor's permission,Ae 102 abc
Aerospace,Ae,225,Ae 225,Special Topics in Solid Mechanics,,
Aerospace,Ae,232 ab,Ae 232 ab,Computational Fluid Dynamics,Ae/APh/CE/ME 101 abc or equivalent; ACM 100 abc or equivalent,"Ae 101 abc, ACM 95/100 ab"
Aerospace,Ae,233,Ae 233,Hydrodynamic Stability,Ae/APh/CE/ME 101 abc or equivalent,Ae 101 abc
Aerospace,Ae,234 ab,Ae 234 ab,Hypersonic Aerodynamics,"Ae/APh/CE/ME 101 abc or equivalent, AM 125 abc, or instructor's permission","Ae 101 abc, ACM 95/100 ab"
Aerospace,Ae,235,Ae 235,Rarefied Gasdynamics,,
Aerospace,Ae,237 ab,Ae 237 ab,Nonsteady Gasdynamics,,
Aerospace,Ae,239 ab,Ae 239 ab,Turbulence,Ae/APh/CE/ME 101 abc; AM 125 abc or ACM/IDS 101,"Ae 101 abc, ACM 101 ab"
Aerospace,Ae,240,Ae 240,Special Topics in Fluid Mechanics,,
Aerospace,Ae,241,Ae 241,Special Topics in Experimental Fluid and Solid Mechanics,Ae/APh 104 or equivalent or instructor's permission,Ae 104 abc
Aerospace,Ae,242,Ae 242,Biological Flows: Propulsion,Ae/APh/CE/ME 101 abc or equivalent or ChE 103 a,"Ae 101 abc, ChE 103 abc"
Aerospace,Ae,250,Ae 250,Reading and Independent Study,,
Aerospace,Ae,251 ab,Ae 251 ab,Closed Loop Flow Control,"ACM 100abc, Ae/APh/CE/ME 101abc or equivalent","ACM 95/100 ab, Ae 101 abc"
Aerospace,Ae,265 ab,Ae 265 ab,"Static and Dynamic Failure of Brittle Solids and Interfaces, from the Micro to the Mega",Ae/AM/CE/ME 102 abc (concurrently) or equivalent and/or instructor's permission,Ae 102 abc
Aerospace,Ae,121 abc,Ae 121 abc,Space Propulsion,Open to all graduate students and to seniors with instructor's permission,
Applied & Computational Math,ACM,11,ACM 11,Introduction to Computational Science and Engineering,"Ma 1ab, Co-requisite Ma 1c. CS 1 or prior programming experience recommended","Ma 1 abc, CS 1"
Applied & Computational Math,ACM,80 abc,ACM 80 abc,Undergraduate Thesis,"instructor's permission, which should be obtained sufficiently early to allow time for planning the research",
Applied & Computational Math,ACM,81 abc,ACM 81 abc,Undergraduate Projects in Applied and Computational Mathematics,Consent of supervisor is required before registering,
Applied & Computational Math,ACM,95/100 ab,ACM 95/100 ab,Introductory Methods of Applied Mathematics for the Physical Sciences,"Ma 1 abc, Ma 2 or equivalents","Ma 1 abc, Ma 2/102"
Applied & Computational Math,ACM,101 ab,ACM 101 ab,Methods of Applied Mathematics,Math 2/102 and ACM 95 ab or equivalent,"Ma 2/102, ACM 95/100 ab"
Applied & Computational Math,ACM,104,ACM 104,Applied Linear Algebra,"Ma 1 abc, some familiarity with MATLAB, e.g. ACM 11 is desired","Ma 1 abc, ACM 11"
Applied & Computational Math,ACM,105,ACM 105,Applied Real and Functional Analysis,"Ma 2, Ma 108a, ACM/IDS 104 or equivalent","Ma 2/102, Ma 108 abc, ACM 104"
Applied & Computational Math,ACM,106 ab,ACM 106 ab,Introductory Methods of Computational Mathematics,"For ACM/EE 106a, Ma 1 abc, Ma 2, Ma 3, ACM 11; for ACM/EE 106b, ACM 95/100 ab or equivalent","Ma 1 abc, Ma 2/102, Ma 3/103, ACM 11, ACM 95/100 ab"
Applied & Computational Math,ACM,109,ACM 109,Mathematical Modelling,ACM 95/100 ab,ACM 95/100 ab
Applied & Computational Math,ACM,116,ACM 116,Introduction to Probability Models,"Ma 3 or EE 55, some familiarity with MATLAB, e.g. ACM 11, is desired","Ma 3/103, EE 55, ACM 11"
Applied & Computational Math,ACM,118,ACM 118,Stochastic Processes and Regression,"CMS/ACM/IDS 107 or equivalent, CMS 117 or equivalent, or permission of the instructor","CMS 107, CMS 117"
Applied & Computational Math,ACM,154,ACM 154,Inverse Problems and Data Assimilation,"Basic differential equations, linear algebra, probability and statistics: ACM/IDS 104, ACM/EE 106 ab, ACM/EE/IDS 116, IDS/ACM/CS 157 or equivalent","ACM 104, ACM 106 ab, ACM 116, IDS 157"
Applied & Computational Math,ACM,170,ACM 170,Mathematics of Signal Processing,"ACM/IDS 104, CMS/ACM/IDS 113, and ACM/EE/IDS 116; or instructor's permission","ACM 104, CMS 122, ACM 116"
Applied & Computational Math,ACM,190,ACM 190,Reading and Independent Study,,
Applied & Computational Math,ACM,201,ACM 201,Partial Differential Equations,"ACM 95/100 ab, ACM/IDS 101 ab, ACM 11 or equivalent","ACM 95/100 ab, ACM 101 ab, ACM 11"
Applied & Computational Math,ACM,204,ACM 204,Topics in Linear Algebra and Convexity,CMS/ACM 107 or instructor's permission,CMS 107
Applied & Computational Math,ACM,206,ACM 206,Topics in Computational Mathematics,ACM 106ab,ACM 106 ab
Applied & Computational Math,ACM,210,ACM 210,Numerical Methods for PDEs,"ACM 11, 106 or instructor's permission","ACM 11, ACM 106 ab"
Applied & Computational Math,ACM,213,ACM 213,Topics in Optimization,"ACM/IDS 104, CMS/ACM/IDS 113","ACM 104, CMS 122"
Applied & Computational Math,ACM,216,ACM 216,"Markov Chains, Discrete Stochastic Processes and Applications",ACM/EE/IDS 116 or equivalent,ACM 116
Applied & Computational Math,ACM,217,ACM 217,Advanced Topics in Stochastic Analysis,ACM/CMS/EE/IDS 117,CMS 117
Applied & Computational Math,ACM,256,ACM 256,Special Topics in Applied Mathematics,ACM/IDS 101 or equivalent,ACM 101 ab
Applied & Computational Math,ACM,257,ACM 257,Special Topics in Financial Mathematics,ACM 95/100 or instructor's permission,ACM 95/100 ab
Applied & Computational Math,ACM,270,ACM 270,Advanced Topics in Applied and Computational Mathematics,,
Applied & Computational Math,ACM,300,ACM 300,Research in Applied and Computational Mathematics,,
Applied Mechanics,AM,127,AM 127,Calculus of Variations,ACM 95/100,ACM 95/100 ab
Applied Mechanics,AM,150 abc,AM 150 abc,Graduate Engineering Seminar,,
Applied Mechanics,AM,151,AM 151,Dynamics and Vibration,,
Applied Mechanics,AM,165,AM 165,Finite Elasticity,Ae/Ge/ME 160 a,Ae 160 ab
Applied Mechanics,AM,200,AM 200,Advanced Work in Applied Mechanics,,
Applied Mechanics,AM,201,AM 201,Advanced Topics in Applied Mechanics,,
Applied Mechanics,AM,252,AM 252,Linear and Nonlinear Waves in Structured Media,,
Applied Mechanics,AM,300,AM 300,Research in Applied Mechanics,,
Applied Physics,APh,9 ab,APh 9 ab,Solid-State Electronics for Integrated Circuits,Successful completion of APh/EE 9 a is a prerequisite for enrollment in APh/EE 9 b,
Applied Physics,APh,17 abc,APh 17 abc,Thermodynamics,"Ma 1 abc, Ph 1 abc","Ma 1 abc, Ph 1 abc"
Applied Physics,APh,23,APh 23,Demonstration Lectures in Classical and Quantum Photonics,Ph 1 abc,Ph 1 abc
Applied Physics,APh,24,APh 24,Introductory Optics and Photonics Laboratory,APh 23,APh 23
Applied Physics,APh,77 bc,APh 77 bc,Laboratory in Applied Physics,,
Applied Physics,APh,78 abc,APh 78 abc,"Senior Thesis, Experimental",instructor's permission,
Applied Physics,APh,79 abc,APh 79 abc,"Senior Thesis, Theoretical",instructor's permission,
Applied Physics,APh,100,APh 100,Advanced Work in Applied Physics,,
Applied Physics,APh,105 abc,APh 105 abc,States of Matter,APh 17 abc or equivalent,APh 17 abc
Applied Physics,APh,109,APh 109,Introduction to the Micro/Nanofabrication Lab,,
Applied Physics,APh,110,APh 110,Topics in Applied Physics,,
Applied Physics,APh,112 ab,APh 112 ab,Noise and Stochastic Resonance,"Ph 12 abc, ACM 95/100 ab and Ph 106 abc, equivalent background, or instructor's permission","Ph 12 abc, ACM 95/100 ab, Ph 106 abc"
Applied Physics,APh,114 abc,APh 114 abc,Solid-State Physics,Ph 125 abc or equivalent,Ph 125 abc
Applied Physics,APh,115,APh 115,Physics of Momentum Transport in Hydrodynamic Systems,ACM 95 or equivalent,ACM 95/100 ab
Applied Physics,APh,116,APh 116,Physics of Thermal and Mass Transport in Hydrodynamic Systems,ACM 95 or equivalent and APh/Ph 115 or equivalent,"ACM 95/100 ab, APh 115"
Applied Physics,APh,130,APh 130,Electromagnetic Theory,,
Applied Physics,APh,132,APh 132,Special Topics in Photonics and Optoelectronics,,
Applied Physics,APh,138 ab,APh 138 ab,Quantum Hardware and Techniques,Ph 125abc or Ph 127ab or Ph137ab or instructor's permission,"Ph 125 abc, Ph 127 ab, Ph 137 abc"
Applied Physics,APh,150,APh 150,Topics in Applied Physics,,
Applied Physics,APh,156 abc,APh 156 abc,Plasma Physics,Ph 106 abc or equivalent,Ph 106 abc
Applied Physics,APh,183,APh 183,Physics of Semiconductors and Semiconductor Devices,,
Applied Physics,APh,190 abc,APh 190 abc,Quantum Electronics,Ph 125 or equivalent,Ph 125 abc
Applied Physics,APh,200,APh 200,Applied Physics Research,,
Applied Physics,APh,250,APh 250,Advanced Topics in Applied Physics,,
Applied Physics,APh,256,APh 256,Computational Solid State Physics and Materials Science,Ph125 or equivalent and APh114ab or equivalent,"Ph 125 abc, APh 114 abc"
Applied Physics,APh,300,APh 300,Thesis Research in Applied Physics,,
Astrophysics,Ay,1,Ay 1,The Evolving Universe,,
Astrophysics,Ay,20,Ay 20,Basic Astronomy and the Galaxy,"Ma 1 abc, Ph 1 abc or instructor's permission","Ma 1 abc, Ph 1 abc"
Astrophysics,Ay,21,Ay 21,Galaxies and Cosmology,"Ma 1 abc, Ph 1 abc or instructor's permission","Ma 1 abc, Ph 1 abc"
Astrophysics,Ay,30,Ay 30,Introduction to Modern Research,,
Astrophysics,Ay,31,Ay 31,Writing in Astronomy,,
Astrophysics,Ay,43,Ay 43,Reading in Astronomy and Astrophysics,,
Astrophysics,Ay,78 abc,Ay 78 abc,Senior Thesis,"To register, student must obtain approval of the astronomy option representative and the prospective thesis adviser",
Astrophysics,Ay,101,Ay 101,Physics of Stars,Ay 20 is recommended,Ay 20
Astrophysics,Ay,102,Ay 102,Physics of the Interstellar Medium,Ay 20 is recommended,Ay 20
Astrophysics,Ay,104,Ay 104,Relativistic Astrophysics,"Ph 1, Ph 2 ab","Ph 1 abc, Ph 2 abc"
Astrophysics,Ay,105,Ay 105,Optical Astronomy Instrumentation Lab,Ay 20,Ay 20
Astrophysics,Ay,107,Ay 107,Introduction to Astronomical Observation,CS1 or equivalent coding experience recommended,CS 1
Astrophysics,Ay,111 ab,Ay 111 ab,Introduction to Current Astrophysics Research,,
Astrophysics,Ay,119,Ay 119,Astroinformatics,,
Astrophysics,Ay,121,Ay 121,Radiative Processes,"Ph106bc, Ph 125 or equivalent (undergraduates)","Ph 106 abc, Ph 125 abc"
Astrophysics,Ay,122 abc,Ay 122 abc,Astronomical Measurements and Instrumentation,Ph 106bc or equivalent,Ph 106 abc
Astrophysics,Ay,123,Ay 123,Structure and Evolution of Stars,Ay 101; Ph 125 or equivalent (undergraduates),"Ay 101, Ph 125 abc"
Astrophysics,Ay,124,Ay 124,Structure and Evolution of Galaxies,Ay 21; Ph 106 or equivalent (undergraduates),"Ay 21, Ph 106 abc"
Astrophysics,Ay,125,Ay 125,High-Energy Astrophysics,Ph 106 and Ph 125 or equivalent (undergraduates),"Ph 106 abc, Ph 125 abc"
Astrophysics,Ay,126,Ay 126,Interstellar and Intergalactic Medium,Ay 102 (undergraduates),Ay 102
Astrophysics,Ay,127,Ay 127,Astrophysical Cosmology,Ay 21; Ph 106 or equivalent (undergraduates),"Ay 21, Ph 106 abc"
Astrophysics,Ay,141 abc,Ay 141 abc,Research Conference in Astronomy,,
Astrophysics,Ay,142,Ay 142,Research in Astronomy and Astrophysics,,
Astrophysics,Ay,143,Ay 143,Reading and Independent Study,,
Astrophysics,Ay,144,Ay 144,Independent Writing in Astronomy,Ay 142,Ay 142
Astrophysics,Ay,190,Ay 190,Computational Astrophysics,Ph 20-22 (undergraduates),"Ph 20, Ph 21, Ph 22"
Astrophysics,Ay,198,Ay 198,Special Topics in the Planetary Sciences,,
Astrophysics,Ay,211,Ay 211,Contemporary Extragalactic Astronomy,"Ay 123, Ay 124, and Ay 127","Ay 123, Ay 124, Ay 127"
Astrophysics,Ay,215,Ay 215,Seminar in Theoretical Astrophysics,,
Astrophysics,Ay,218,Ay 218,Extrasolar Planets,,
Astrophysics,Ay,219,Ay 219,Elements in the Universe and Galactic Chemical Evolution,"Ay 121, 123, 124, 126","Ay 121, Ay 123, Ay 124, Ay 126"
Biochemistry & Molecular Biophysics,BMB,170,BMB 170,Biochemistry and Biophysics of Macromolecules and Molecular Assemblies,Ch/Bi 110,Ch 110
Biochemistry & Molecular Biophysics,BMB,173,BMB 173,Biophysical/Structural Methods,,
Biochemistry & Molecular Biophysics,BMB,174,BMB 174,Advanced Topics in Biochemistry and Molecular Biophysics,Ch/Bi 110 or equivalent,Ch 110
Biochemistry & Molecular Biophysics,BMB,178,BMB 178,"Macromolecular Function: kinetics, energetics, and mechanisms",Ch/Bi 110 or equivalent,Ch 110
Biochemistry & Molecular Biophysics,BMB,202 abc,BMB 202 abc,Biochemistry Seminar Course,,
Biochemistry & Molecular Biophysics,BMB,230,BMB 230,Macromolecular Structure Determination with Modern X-ray Crystallography Methods,Consent of instructor,
Biochemistry & Molecular Biophysics,BMB,278,BMB 278,Fundamentals of Molecular Genetics,,
Biochemistry & Molecular Biophysics,BMB,299,BMB 299,Graduate Research,,
Bioengineering,BE,1,BE 1,Frontiers in Bioengineering,,
Bioengineering,BE,25,BE 25,Biophysical Chemistry,"Ch 1 ab, Ma 2","Ch 1 ab, Ma 2/102"
Bioengineering,BE,98,BE 98,Undergraduate Research in Bioengineering,,
Bioengineering,BE,99 abc,BE 99 abc,Senior Thesis in Bioengineering,Junior or senior standing and instructor's permission,
Bioengineering,BE,101,BE 101,Order of Magnitude Biology,none,
Bioengineering,BE,103 a,BE 103 a,Introduction to Data Analysis in the Biological Sciences,"Bi 1, Bi 1x, Bi 8, or equivalent; or instructor's permission","Bi 1, Bi 8, Bi 1 x"
Bioengineering,BE,103 b,BE 103 b,Statistical Inference in the Biological Sciences,"BE/Bi 103 a or equivalent; Ma 1 abc and Ma 3, or Bi/CNS/NB 195, or equivalent; or instructor's permission","BE 103 a, Ma 1 abc, Ma 3/103, Bi 195"
Bioengineering,BE,106,BE 106,Comparative Biomechanics,,
Bioengineering,BE,107,BE 107,Exploring Biological Principles Through Bio-Inspired Design,none,
Bioengineering,BE,150,BE 150,Biological Circuit Design,"Bi 1, Bi 8, or equivalent; Ma 2, Bi/CNS/NB 195, or equivalent; or instructor's permission","Bi 1, Bi 8, Ma 2/102, Bi 195"
Bioengineering,BE,153,BE 153,Case Studies in Systems Physiology,"Bi 8, Bi 9, or equivalent","Bi 8, Bi 9"
Bioengineering,BE,159,BE 159,Signal Transduction and Mechanics in Morphogenesis,"Bi 8, Bi 9, ACM 95/100 ab, or instructor's permission","Bi 8, Bi 9, ACM 95/100 ab"
Bioengineering,BE,161,BE 161,Physical Biology of the Cell,"Ph 2 ab and ACM 95/100 ab, or background in differential equations and statistical and quantum mechanics, or instructor's written permission","Ph 2 abc, ACM 95/100 ab"
Bioengineering,BE,189 ab,BE 189 ab,Design and Construction of Biodevices,BE/EE/MedE 189 a must be taken before BE/EE/MedE 189 b,
Bioengineering,BE,197,BE 197,Mentoring and Outreach,,
Bioengineering,BE,200,BE 200,Research in Bioengineering,,
Bioengineering,BE,201,BE 201,Reading the Bioengineering Literature,,
Bioengineering,BE,203,BE 203,Introduction to Programming for the Biological Sciences Bootcamp,none,
Bioengineering,BE,205,BE 205,Deep Learning for Biological Data,BE/BI 103 a and BE/BI 103 b or equivalent; or instructor's permission. CMS/CS/CNS/EE/IDS 155 is strongly recommended but not required,"BE 103 a, BE 103 b, CMS 155"
Bioengineering,BE,240,BE 240,Special Topics in Bioengineering,,
Bioengineering,BE,262,BE 262,Physical Biology Bootcamp,"Enrollment limited to incoming Biology, Biochemistry and Molecular Biophysics, Bioengineering, and Neurobiology graduate students, or instructor's permission",
Bioengineering,BE,267,BE 267,Research Topics in Bioengineering,Graduate Standing,
Bioengineering,BE,191 ab,BE 191 ab,Biomolecular Computation,"none. Recommended: ChE/BE 163, CS 21, CS 129 ab, or equivalent",
Bioengineering,BE,196 ab,BE 196 ab,Design and Construction of Programmable Molecular Systems,none,
Biology,Bi,1,Bi 1,Principles of Biology: The great theories of biology and their influence in the modern world,,
Biology,Bi,1 x,Bi 1 x,The Great Ideas of Biology: Exploration through Experimentation,,
Biology,Bi,2,Bi 2,Current Research in Biology,,
Biology,Bi,8,Bi 8,Foundational Principles of Molecular Biology,,
Biology,Bi,9,Bi 9,Cell Biology,Bi 8,Bi 8
Biology,Bi,10,Bi 10,Introductory Biology Laboratory,Bi 8; designed to be taken concurrently with Bi 9,Bi 8
Biology,Bi,21,Bi 21,Undergraduate Research with Presentation,,
Biology,Bi,22,Bi 22,Undergraduate Research,,
Biology,Bi,23,Bi 23,Biology Tutorials,,
Biology,Bi,24,Bi 24,Scientific Communication for Biological Scientists and Engineers,,
Biology,Bi,90 abc,Bi 90 abc,Undergraduate Thesis,"18 units of Bi 22 (or equivalent research experience) in the research area proposed for the thesis, and instructor's permission",Bi 22
Biology,Bi,114,Bi 114,Immunology,"Bi 8, Bi 9, Bi 122 or equivalent, and Ch/Bi 110 recommended","Bi 8, Bi 9, Bi 122, Ch 110"
Biology,Bi,115,Bi 115,Viruses and Applications to Biological Systems,,
Biology,Bi,116,Bi 116,Microbial Genetics,"Bi 1, 8, 9 (or equivalent), and ESE/Bi 166","Bi 1, Bi 8, Bi 9, ESE 166"
Biology,Bi,117,Bi 117,Developmental Biology,Bi 8 and Bi 9,"Bi 8, Bi 9"
Biology,Bi,118,Bi 118,Morphogenesis of Developmental Systems,"Bi 8 and Bi 9, or instructor's permission","Bi 8, Bi 9"
Biology,Bi,122,Bi 122,Genetics,"Bi 8 or Bi 9, or instructor's permission","Bi 8, Bi 9"
Biology,Bi,129,Bi 129,The Biology and Treatment of Cancer,,
Biology,Bi,145 b,Bi 145 b,Tissue and Organ Physiology,Bi 145a,
Biology,Bi,158,Bi 158,Vertebrate Evolution,"Bi 1, Bi 8, or instructor's permission","Bi 1, Bi 8"
Biology,Bi,160,Bi 160,Molecular Basis of Animal Evolution,Bi 8 and/or Bi 9 recommended,"Bi 8, Bi 9"
Biology,Bi,165,Bi 165,Microbiology Research: Practice and Proposal,,
Biology,Bi,177,Bi 177,Principles of Modern Microscopy,,
Biology,Bi,180,Bi 180,Plant and Soil Science,,
Biology,Bi,182,Bi 182,Design Principles of Gene Regulatory Networks,Bi 8,Bi 8
Biology,Bi,183,Bi 183,Introduction to Computational Biology and Bioinformatics,"Bi 8, CS 2, Ma 3; or BE/Bi 103a; or instructor's permission","Bi 8, CS 2, Ma 3/103, BE 103 a"
Biology,Bi,184,Bi 184,The Primate Visual System,,
Biology,Bi,185,Bi 185,Large Scale Brain Networks,,
Biology,Bi,188,Bi 188,Human Genetics and Genomics,Bi 122; or graduate standing and instructor's permission,Bi 122
Biology,Bi,189,Bi 189,The Cell Cycle,Bi 8 and Bi 9,"Bi 8, Bi 9"
Biology,Bi,190,Bi 190,Systems Genetics,Bi 122,Bi 122
Biology,Bi,192,Bi 192,Introduction to Systems Biology,"Ma 1abc, and either Bi 8, CS1, or ACM 95 or instructor's permission","Ma 1 abc, Bi 8, CS 1, ACM 95/100 ab"
Biology,Bi,195,Bi 195,Mathematics in Biology,calculus,
Biology,Bi,206,Bi 206,Biochemical and Genetic Methods in Biological Research,graduate standing,
Biology,Bi,214,Bi 214,Stem Cells and Hematopoiesis,"Graduate standing, or at least one of Bi 114, Bi 117, Bi/Be 182, plus molecular biology",
Biology,Bi,222,Bi 222,The Structure of the Cytosol,"Bi 9, Ch/Bi 110-111 or graduate standing in a biological discipline","Bi 9, Ch 110, Ch 111"
Biology,Bi,227,Bi 227,Methods in Modern Microscopy,Bi/BE 177 or a course in microscopy,Bi 177
Biology,Bi,230,Bi 230,Optogenetic and CLARITY Methods in Experimental Neuroscience,Graduate standing or NB/Bi/CNS 150 or equivalent or instructor's permission,
Biology,Bi,241,Bi 241,Spatial Genomics,Instructor's permission,
Biology,Bi,250 a,Bi 250 a,Topics in Molecular and Cellular Biology,graduate standing,
Biology,Bi,250 b,Bi 250 b,Topics in Systems Biology,"Bi 1, Bi 8, or equivalent; Ma 2, Bi/CNS/NB 195, or equivalent; or instructor's permission","Bi 1, Bi 8, Ma 2/102, Bi 195"
Biology,Bi,250 d,Bi 250 d,"Topics in Developmental, Stem Cell and Evolutionary Biology",graduate standing,
Biology,Bi,251 abc,Bi 251 abc,Current Research in Cellular and Molecular Biology,graduate standing,
Biology,Bi,252,Bi 252,Responsible Conduct of Research,,
Biology,Bi,270 abc,Bi 270 abc,Special Topics in Biology,,
Biology,Bi,299,Bi 299,Graduate Research,,
Biology,Bi,105,Bi 105,Evolution,"Completion of Core Curriculum Courses. Maximum enrollment: 15, by application only",
Biology,Bi,145 a,Bi 145 a,Tissue and Organ Physiology,"Bi 8, 9, Ch/Bi 110. Ch/Bi 110 may be taken concurrently","Bi 8, Bi 9, Ch 110"
Chemical Engineering,ChE,10,ChE 10,Introduction to Chemical Engineering,,
Chemical Engineering,ChE,15,ChE 15,Introduction to Chemical Engineering Computation,,
Chemical Engineering,ChE,62,ChE 62,Separation Processes,ChE 15 and Ma 2,"ChE 15, Ma 2/102"
Chemical Engineering,ChE,63 ab,ChE 63 ab,Chemical Engineering Thermodynamics,Sophomore standing required,
Chemical Engineering,ChE,70,ChE 70,Special Topics in Chemical Engineering,instructor's permission,
Chemical Engineering,ChE,80,ChE 80,Undergraduate Research,,
Chemical Engineering,ChE,90 abc,ChE 90 abc,Senior Thesis,,
Chemical Engineering,ChE,101,ChE 101,Chemical Reaction Engineering,"ChE 62, ChE 63 ab, or instructor's permission","ChE 62, ChE 63 ab"
Chemical Engineering,ChE,103 abc,ChE 103 abc,Transport Phenomena,ACM 95/100 ab or concurrent registration; ChE 101 required for ChE 103 c or instructor's permission,"ACM 95/100 ab, ChE 101"
Chemical Engineering,ChE,105,ChE 105,Dynamics and Control of Chemical Systems,"ACM 95 ab or concurrent registration, or instructor's permission",ACM 95/100 ab
Chemical Engineering,ChE,107,ChE 107,Social Media for Scientists,,
Chemical Engineering,ChE,111,ChE 111,Sustainable Engineering,(ChE 62 and ChE 63 ab) or (ME 11 abc) or (Ph 2 c and MS 115) or Instructor's permission,"ChE 62, ChE 63 ab, ME 11 abc, Ph 2 abc, MS 115"
Chemical Engineering,ChE,112,ChE 112,Creativity and Technological Innovation with Microfluidic Systems,,
Chemical Engineering,ChE,114,ChE 114,Solid State NMR Spectroscopy For Materials Chemistry,Ch 21abc or instructor's permission,Ch 21 abc
Chemical Engineering,ChE,115,ChE 115,Electronic Materials Processing,"ChE 63 ab, ChE 103 abc, ChE 101, or instructor's permission","ChE 63 ab, ChE 103 abc, ChE 101"
Chemical Engineering,ChE,118,ChE 118,Introduction to the Design of Chemical Systems,"ChE 63 ab, ChE 101, ChE 103 abc, ChE 126, or instructor's permission","ChE 63 ab, ChE 101, ChE 103 abc, ChE 126"
Chemical Engineering,ChE,120,ChE 120,Optimal Design of Chemical Systems,"ChE 63 ab, ChE 101, ChE 103 abc, ChE 126, or instructor's permission","ChE 63 ab, ChE 101, ChE 103 abc, ChE 126"
Chemical Engineering,ChE,126,ChE 126,Chemical Engineering Laboratory,"ChE 63 ab, ChE 101, ChE 103 abc, ChE 105, or instructor's permission","ChE 63 ab, ChE 101, ChE 103 abc, ChE 105"
Chemical Engineering,ChE,128,ChE 128,Chemical Engineering Design Laboratory,"ChE 63 ab, ChE 101, ChE 103 abc, or instructor's permission","ChE 63 ab, ChE 101, ChE 103 abc"
Chemical Engineering,ChE,130,ChE 130,Biomolecular Engineering Laboratory,"ChE 63 ab, ChE 101 (may be taken concurrently) or instructor's permission","ChE 63 ab, ChE 101"
Chemical Engineering,ChE,141,ChE 141,Data Science for Chemical Systems,"ChE 15, ACM/IDS 104","ChE 15, ACM 104"
Chemical Engineering,ChE,142,ChE 142,Challenges in Data Science for Chemical Systems,ChE 141,ChE 141
Chemical Engineering,ChE,148,ChE 148,Polymer Physics,,
Chemical Engineering,ChE,151 ab,ChE 151 ab,Physical and Chemical Rate Processes,,
Chemical Engineering,ChE,152,ChE 152,Heterogeneous Kinetics and Reaction Engineering,ChE 101 or instructor's permission,ChE 101
