Course,Department Name,Title,Pre Req
AS.440.663,AAP Applied Economics,Development Microeconomics,You must take AS.440.601 prior to enrolling in AS.440.663
AS.440.665,AAP Applied Economics,International Trade (Open Economy Micro),You must take AS.440.601 and AS.440.602 prior to enrolling in AS.440.665
AS.440.666,AAP Applied Economics,Regional Economics ,You must take AS.440.601 prior to enrolling in AS.440.666
AS.440.667,AAP Applied Economics,Urban Economics,
AS.440.672,AAP Applied Economics,Economics of Health Care,You must take AS.440.601 AND AS.440.606 prior to enrolling in AS.440.672
AS.440.684,AAP Applied Economics,Game Theory,You must take AS.440.601 prior to enrolling in AS.440.684
AS.440.692,AAP Applied Economics,Thesis,
AS.440.801,AAP Applied Economics,Independent Study,
AS.440.888,AAP Applied Economics,Continuation (Applied Economics),
AS.410.302,AAP Biotechnology,Bio-Organic Chemistry,
AS.410.303,AAP Biotechnology,Foundations in Bioscience,
AS.410.601,AAP Biotechnology,Biochemistry,
AS.410.602,AAP Biotechnology,Molecular Biology,
AS.410.603,AAP Biotechnology,Advanced Cell Biology,
AS.410.604,AAP Biotechnology,Cellular Signal Transduction,
AS.410.607,AAP Biotechnology,The Biotechnology Enterprise,
AS.410.608,AAP Biotechnology,Neurological Disease,
AS.410.609,AAP Biotechnology,Developmental Biology,
AS.410.610,AAP Biotechnology,"Epigenetics, Gene Organization & Expression",
AS.410.611,AAP Biotechnology,Vaccinology,
AS.410.612,AAP Biotechnology,Human Molecular Genetics,
AS.410.613,AAP Biotechnology,Principles of Immunology,
AS.410.615,AAP Biotechnology,Applied Microbiology,
AS.410.616,AAP Biotechnology,Virology,"You must enroll in AS.410.601, AS.410.602, and AS.410.603 prior to taking AS.410.616"
AS.410.618,AAP Biotechnology,Parasitology,
AS.410.620,AAP Biotechnology,Advanced Topics in Immunology,
AS.410.621,AAP Biotechnology,Agricultural Biotechnology,
AS.410.622,AAP Biotechnology,Molecular Basis of Pharmacology,
AS.410.627,AAP Biotechnology,Translational Biotechnology: From Intellectual Property to Licensing,
AS.410.628,AAP Biotechnology,Neurobiology,
AS.410.629,AAP Biotechnology,Genes & Disease,
AS.410.630,AAP Biotechnology,Gene Therapy,
AS.410.631,AAP Biotechnology,Infectious Diseases,
AS.410.632,AAP Biotechnology,Emerging Infectious Diseases,
AS.410.633,AAP Biotechnology,Introduction to Bioinformatics,
AS.410.634,AAP Biotechnology,Practical Computer Concepts for Bioinformatics,
AS.410.635,AAP Biotechnology,Bioinformatics: Tools for Genome Analysis,
AS.410.637,AAP Biotechnology,Bioethics,
AS.410.638,AAP Biotechnology,Cancer Biology,
AS.410.639,AAP Biotechnology,Protein Bioinformatics,Prerequisites: 410.601 Biochemistry or equivalent; 410.602 Molecular Biology; 410.633 Introduction to Bioinformatics or equivalent; 410.634 Practical Computer Concepts for Bioinformatics. SCI
AS.410.640,AAP Biotechnology,Molecular Phylogenetic Techniques,
AS.410.641,AAP Biotechnology,Clinical & Molecular Diagnostics,
AS.410.642,AAP Biotechnology,Economic Dynamics of Change in Biotechnology,
AS.410.643,AAP Biotechnology,Managing and Leading Biotechnology Professionals,
AS.410.644,AAP Biotechnology,Marketing Aspects of Biotechnology,
AS.410.645,AAP Biotechnology,Biostatistics,
AS.410.646,AAP Biotechnology,Creating a Biotechnology Enterprise,
AS.410.647,AAP Biotechnology,Research Ethics,
AS.410.648,AAP Biotechnology,Clinical Trial Design and Conduct,
AS.410.649,AAP Biotechnology,Introduction to Regulatory Affairs,
AS.410.651,AAP Biotechnology,Clinical Development of Drugs and Biologics,
AS.410.652,AAP Biotechnology,Mammalian Cell Culture Techniques,
AS.410.653,AAP Biotechnology,Regenerative Medicine: from Bench to Bedside,
AS.410.656,AAP Biotechnology,Recombinant DNA Laboratory,
AS.410.658,AAP Biotechnology,Biodefense & Infectious Disease Laboratory Methods,
AS.410.660,AAP Biotechnology,Immunological Techniques in Biotechnology,
AS.410.662,AAP Biotechnology,Epidemiology: Diseases in Populations,
AS.410.664,AAP Biotechnology,Ethics in Emerging Bioscience Technologies,
AS.410.665,AAP Biotechnology,Bioscience Communication,
AS.410.666,AAP Biotechnology,Next Generation DNA Sequencing and Analysis,
AS.410.671,AAP Biotechnology,Gene Expression Data Analysis and Visualization,
AS.410.673,AAP Biotechnology,Biological Processes in Regulatory Affairs,
AS.410.674,AAP Biotechnology,Food Microbiology,
AS.410.675,AAP Biotechnology,International Regulatory Affairs,
AS.410.676,AAP Biotechnology,Food And Drug Law,
AS.410.679,AAP Biotechnology,Practicum in Regulatory Science,
AS.410.680,AAP Biotechnology,Finance for Biotechnology,
AS.410.682,AAP Biotechnology,Validation in Biotechnology,
AS.410.683,AAP Biotechnology,Introduction to cGMP Compliance,
AS.410.684,AAP Biotechnology,Technology Transfer & Commercialization,
AS.410.685,AAP Biotechnology,Emerging Issues in Biotechnology,
AS.410.686,AAP Biotechnology,Regulation of Good Food Production Practices,
AS.410.687,AAP Biotechnology,"Ethical,Legal & Regulatory Aspects of the Biotechnology Enterprise",
AS.410.688,AAP Biotechnology,Project Management in Biotechnology,
AS.410.689,AAP Biotechnology,Leading Change in Biotechnology,
AS.410.690,AAP Biotechnology,International Food Regulations,
AS.410.692,AAP Biotechnology,Biological & Chemical Threat Response & Forensics,
AS.410.693,AAP Biotechnology,"Science, Medicine & Policy in Biodefense",
AS.410.694,AAP Biotechnology,FDA Premarket Applications,
AS.410.696,AAP Biotechnology,Bioassay Development,
AS.410.698,AAP Biotechnology,Bioperl,
AS.410.699,AAP Biotechnology,Nanobiotechnology,
AS.410.700,AAP Biotechnology,Food Labeling and Packaging Regulations,
AS.410.701,AAP Biotechnology,Intro to Food Safety Regulation,
AS.410.702,AAP Biotechnology,Biomedical Software Regulation,
AS.410.703,AAP Biotechnology,Strategic Planning for the Biotechnology Enterprise,
AS.410.704,AAP Biotechnology,Social Entrepreneurship in BioScience ,
AS.410.705,AAP Biotechnology,Problem Solving and Innovation,
AS.410.706,AAP Biotechnology,Building and Leading Teams in Health Care,
AS.410.707,AAP Biotechnology,"The Psychosocial Determinants of Health, Implications on Diagnostics",
AS.410.708,AAP Biotechnology,Medical Product Reimbursement,
AS.410.709,AAP Biotechnology,Cancer Genomics,Prerequisites: 410.601 Biochemistry or equivalent; 410.602 Molecular Biology; 410.603 Advanced Cell Biology; 410.638 Cancer Biology; 410.633 Introduction to Bioinformatics is recommended.
AS.410.712,AAP Biotechnology,Advanced Practical Computer Concepts for Bioinformatics,
AS.410.713,AAP Biotechnology,Advanced Genomics and Genetics Analyses,
AS.410.715,AAP Biotechnology,Medical Device Regulation,
AS.410.716,AAP Biotechnology,Food Toxicology,
AS.410.717,AAP Biotechnology,Risk Assessment and Management,
AS.410.718,AAP Biotechnology,Food Safety Audits and Surveillance,
AS.410.719,AAP Biotechnology,Postmarket Surveillance,
AS.410.720,AAP Biotechnology,American Food Policy and Regulation,
AS.410.721,AAP Biotechnology,In Vitro Diagnostic Regulation,
AS.410.727,AAP Biotechnology,Regulatory Strategies in Biopharmaceuticals ,
AS.410.728,AAP Biotechnology,Managing Innovation in the Life Sciences,
AS.410.731,AAP Biotechnology,Bioprocessing and Scale-up Laboratory,
AS.410.732,AAP Biotechnology,Funding a New Venture,
AS.410.734,AAP Biotechnology,Practical Introduction to Metagenomics,
AS.410.736,AAP Biotechnology,Genomic and Personalized Medicine,
AS.410.737,AAP Biotechnology,Promotion of Biomedical Products: Regulatory Considerations,
AS.410.750,AAP Biotechnology,Molecular Targets & Cancer,
AS.410.751,AAP Biotechnology,Drug Design and Chemical Libraries,
AS.410.752,AAP Biotechnology,High Throughput Screening & Automation Lab,
AS.410.753,AAP Biotechnology,Stem Cell Biology,
AS.410.756,AAP Biotechnology,Grants and Federal Funding for Biotechnology Enterprises,
AS.410.777,AAP Biotechnology,Next Generation Alternative Energies,
AS.410.780,AAP Biotechnology,Stem Cell Culture Laboratory Methods,
AS.410.799,AAP Biotechnology,Current Topics in Regulatory Policy,
AS.410.800,AAP Biotechnology,Independent Research in Biotechnology,
AS.410.801,AAP Biotechnology,Biotechnology Thesis,Successful completion of 410.800 Independent Research Project and 410.645 Biostatistics.
AS.410.802,AAP Biotechnology,Independent Studies in Regulatory Science,
AS.410.804,AAP Biotechnology,Practicum in Biotechnology Enterprise & Entrepreneurship,
AS.410.806,AAP Biotechnology,Independent Studies in Biotechnology Enterprise and Entrepreneurship,
AS.480.600,AAP Communication,Research & Writing Methods,
AS.480.601,AAP Communication,Foundations of Digital Media,You must complete AS.480.600 in order to register for this course. You can enroll for this course when registration opens for the next semester.
AS.480.602,AAP Communication,Changing Behavior through Communication,You must complete AS.480.600 in order to register for this course. You can enroll for this course when registration opens for the next semester.
AS.480.603,AAP Communication,Communication in Practice,
AS.480.604,AAP Communication,Theory of Mass Communication Practices,You must complete AS.480.600 in order to register for this course. You can enroll for this course when registration opens for the next semester.
AS.480.605,AAP Communication,Organizational Communication,
AS.480.606,AAP Communication,Persuasion ,You must complete AS.480.600 in order to register for this course. You can enroll for this course when registration opens for the next semester.
AS.480.609,AAP Communication,Applied Qualitative Research,You must complete AS.480.600 in order to register for this course. You can enroll for this course when registration opens for the next semester.
AS.480.613,AAP Communication,Communication Ethics in Action,
AS.480.614,AAP Communication,Communication Strategies for the 2020 Democratic Presidential Primary Debates,
AS.480.620,AAP Communication,Becoming a Press Officer,
AS.480.622,AAP Communication,Branding by Motion Picture,
AS.480.624,AAP Communication,Public Affairs Communication,
AS.480.629,AAP Communication,Public Relations in the Age of Digital Influence,
AS.480.632,AAP Communication,Digital Political Strategy,
AS.480.633,AAP Communication,Interactive Marketing and Advertising,
AS.480.634,AAP Communication,Journalism & Publishing in the Digital Age,
AS.480.635,AAP Communication,Communication.org:Not-for-Profits in the Digital Age,
AS.480.636,AAP Communication,Web Writing and Content Strategy,
AS.480.637,AAP Communication,Using Social and Digital Media,
AS.480.638,AAP Communication,Utilizing Images: Media Literacy In Practice,
AS.480.639,AAP Communication,Advanced Social Media Management,
AS.480.640,AAP Communication,Health Communication,
AS.480.642,AAP Communication,Corporate Social Responsibility Campaigns ,
AS.480.643,AAP Communication,Branding and Advertising,
AS.480.645,AAP Communication,"Health Literacy, Language and Culture",
AS.480.646,AAP Communication,Managerial Communication ,
AS.480.653,AAP Communication,Communicating for Social Change,
AS.480.654,AAP Communication,Strategic Communication Program Management,
AS.480.655,AAP Communication,"Censorship, Freedoms, and Communication Regulation",
AS.480.657,AAP Communication,Introduction to Public Relations,
AS.480.658,AAP Communication,Public Relations Writing,
AS.480.659,AAP Communication,Risk and Crisis Communication,
AS.480.660,AAP Communication,Media Relations,
AS.480.661,AAP Communication,International Public Relations and Public Diplomacy,
AS.480.662,AAP Communication,Opinion Writing,
AS.480.663,AAP Communication,Integrated Marketing Communication,
AS.480.665,AAP Communication,Speech Writing,
AS.480.668,AAP Communication,Understanding Markets and Audiences,
AS.480.675,AAP Communication,Public Policy Management & Advocacy,
AS.480.680,AAP Communication,Nonfiction Filmmaking,
AS.480.682,AAP Communication,Health Psychology & Behavior Change,
AS.480.685,AAP Communication,Argument & Public Address,
AS.480.686,AAP Communication,Behavior Change and Education through Entertainment,
AS.480.687,AAP Communication,Intercultural Communication ,
AS.480.800,AAP Communication,Thesis,
AS.480.801,AAP Communication,Independent Study,
AS.480.804,AAP Communication,Practicum,You must complete AS.480.600 in order to register for this course. You can enroll for this course when registration opens for the next semester.
AS.480.806,AAP Communication,Practicum: Independent Study,
AS.480.888,AAP Communication,Thesis Continuation,
AS.465.702,AAP Cultural Heritage Management,Studies in World Heritage,
AS.465.704,AAP Cultural Heritage Management,Cultural Heritage Management/Leadership,
AS.465.706,AAP Cultural Heritage Management,Research/Capstone in Heritage Studies,
AS.465.707,AAP Cultural Heritage Management,Reading the Landscape: Cultural Heritage at Scale,
AS.465.708,AAP Cultural Heritage Management,Two-Week Onsite Cultural Heritage Management Seminar,
AS.465.710,AAP Cultural Heritage Management,"The Protection of Global Cultural Heritage: Laws, Policies, Politics, and Advocacy",
AS.465.712,AAP Cultural Heritage Management,Managing Cultural Heritage Resources,
AS.465.714,AAP Cultural Heritage Management,Culture as Catalyst for Sustainable Development,
AS.465.716,AAP Cultural Heritage Management,Cultural Heritage Risk Management and Security,
AS.465.720,AAP Cultural Heritage Management,Issues in Intangible Cultural Heritage,
AS.465.730,AAP Cultural Heritage Management,Heritage Interpretation,
AS.465.732,AAP Cultural Heritage Management,Engaging Communities in Heritage,
AS.465.734,AAP Cultural Heritage Management,Heritage Tourism,
AS.465.736,AAP Cultural Heritage Management,NAGPRA: Repatriation as Compliance or Ethical Practice,
AS.465.740,AAP Cultural Heritage Management,Cultural Heritage in the Digital Age,
AS.465.746,AAP Cultural Heritage Management,"Reality Capture: Heritage Documentation for Analysis, Conservation, and Outreach",
AS.465.780,AAP Cultural Heritage Management,Internship,
AS.465.800,AAP Cultural Heritage Management,Independent Study,
AS.425.601,AAP Energy Policy and Climate,Principles and Applications of Energy Technology,
AS.425.602,AAP Energy Policy and Climate,Science of Climate Change and its Impact,
AS.425.603,AAP Energy Policy and Climate,Climate Change Policy Analysis,
AS.425.604,AAP Energy Policy and Climate,Energy & Climate Finance,
AS.425.605,AAP Energy Policy and Climate,Introduction to Energy Law & Policy,
AS.425.606,AAP Energy Policy and Climate,Social Science Research Methods for Energy & Environmental Policy,"Prerequisites: must have taken at least one core course in either the EPC program (425.601, 425.602, 425.603, 425.604, 425.605) or the ESP program (420.601, 420.603, 420.604, 420.608, 420.611, 420.614)."
AS.425.615,AAP Energy Policy and Climate,Understanding Public Attitudes for the Communication of Climate and Energy Policy,
AS.425.617,AAP Energy Policy and Climate,"Energy, Eutrophication, and Inundation in Coastal Louisiana",
AS.425.618,AAP Energy Policy and Climate,"Energy, Policy and Environmental Impact in China",
AS.425.620,AAP Energy Policy and Climate,Climate Risk: Society and The Economy,
AS.425.622,AAP Energy Policy and Climate,Renewable Energy and Climate Change Projects in Europe,
AS.425.623,AAP Energy Policy and Climate,Transportation Policy in a Carbon-constrained World,
AS.425.624,AAP Energy Policy and Climate,"Wind Energy: Science, Technology and Policy",
AS.425.625,AAP Energy Policy and Climate,"Solar Energy:Science, Technology & Policy",
AS.425.626,AAP Energy Policy and Climate,Climate Anthropology and Changing Communities,
AS.425.628,AAP Energy Policy and Climate,Renewable Energy Project Development and Finance,
AS.425.630,AAP Energy Policy and Climate,Cities and Climate Change,
AS.425.634,AAP Energy Policy and Climate,Climate Change and Health,
AS.425.635,AAP Energy Policy and Climate,"Earth System Models and Applications to Climate Adaptation, Mitigation and Policy",
AS.425.636,AAP Energy Policy and Climate,Emerging Energy Technologies and Applications,"Prerequisite: 425.601 Principles and Applications of Energy Technology, equivalent experience, or permission of instructor."
AS.425.637,AAP Energy Policy and Climate,International Climate Change Policy,
AS.425.638,AAP Energy Policy and Climate,Adaptation to Climate Change,
AS.425.639,AAP Energy Policy and Climate,Energy Markets and Strategy from Europe to Asia,
AS.425.641,AAP Energy Policy and Climate,"Greenhouse Gas Inventory, Accounting, and Reporting",
AS.425.644,AAP Energy Policy and Climate,Principles & Applications of Energy Technology II,
AS.425.645,AAP Energy Policy and Climate,Global Energy Policy,
AS.425.646,AAP Energy Policy and Climate,"US Offshore Energy: Policy, Science and Technology",
AS.425.647,AAP Energy Policy and Climate,Energy and Water Security in South Asia,
AS.425.651,AAP Energy Policy and Climate,The Electric Grid: Technology and Policy,
AS.425.652,AAP Energy Policy and Climate,"Nuclear Energy: Technology, Policy, and Regulations",Prerequisite: AS.425.601 – Principles and Applications of Energy Technology or permission of instructor.
AS.425.689,AAP Energy Policy and Climate,Extreme Weather Events and Climate Change,
AS.425.800,AAP Energy Policy and Climate,Research Design for Capstone Projects in Energy and Environmental Sciences,
AS.425.801,AAP Energy Policy and Climate,Independent Study,
AS.425.888,AAP Energy Policy and Climate,Capstone Continuation Course,
AS.420.301,AAP Environmental Sciences,Quantitative Methods,
AS.420.302,AAP Environmental Sciences,Chemistry of Natural Processes,
AS.420.601,AAP Environmental Sciences,Geological Foundations of Environmental Science,
AS.420.603,AAP Environmental Sciences,Environmental Applications of GIS,
AS.420.604,AAP Environmental Sciences,Hydrology & Water Resources,
AS.420.605,AAP Environmental Sciences,Maritime Law and the Environment,
AS.420.606,AAP Environmental Sciences,Climate Justice,
AS.420.608,AAP Environmental Sciences,Oceanic & Atmospheric Processes,
AS.420.610,AAP Environmental Sciences,Sustainable Business,
AS.420.611,AAP Environmental Sciences,Principles & Methods of Ecology,
AS.420.612,AAP Environmental Sciences,Sustainability Science: Concepts and Challenges,
AS.420.613,AAP Environmental Sciences,Forest Ecosystems,
AS.420.614,AAP Environmental Sciences,Environmental Policymaking and Policy Analysis,
AS.420.615,AAP Environmental Sciences,Environmental Restoration,
AS.420.616,AAP Environmental Sciences,Environmental Consequences of Conventional Energy Generation,
AS.420.617,AAP Environmental Sciences,Managing Responsible Organizations for the Ecosystem,
AS.420.618,AAP Environmental Sciences,Terrestrial and Marine Conservation Biology,
AS.420.619,AAP Environmental Sciences,Climate Dynamics,
AS.420.621,AAP Environmental Sciences,The Intersections Between Science and Society: Investigating Watershed Ecosystems in the Cascades,
AS.420.622,AAP Environmental Sciences,Ecotoxicology,
AS.420.623,AAP Environmental Sciences,Freshwater Ecology & Restoration of Aquatic Ecosystems,Must satisfy prerequisite course prior to enrolling in 420.623
AS.420.624,AAP Environmental Sciences,Ocean Stewardship and Sustainability,
AS.420.625,AAP Environmental Sciences,Ecology and Ecosystem Management in Coastal and Estuarine Systems,
AS.420.627,AAP Environmental Sciences,Great Lakes Ecology and Management,
AS.420.628,AAP Environmental Sciences,Ecology and Management of Wetlands,
AS.420.629,AAP Environmental Sciences,"Drinking Water,Sanitation & Health",Must satisfy prerequisite course (AS.420.604) prior to enrolling in AS.420.629
AS.420.632,AAP Environmental Sciences,Air Quality Management and Policy,Must satisfy prerequiste course (AS.420.608) prior to enrolling in AS.420.632
AS.420.634,AAP Environmental Sciences,Bioremediation & Biofuels for Environmental Restoration,
AS.420.636,AAP Environmental Sciences,Environmental Anthropology,
AS.420.637,AAP Environmental Sciences,Conservation Biology,
AS.420.638,AAP Environmental Sciences,Coastal Zone Processes and Policy,
AS.420.639,AAP Environmental Sciences,Landscape Ecology,Must satisfy prerequisite course (AS.420.611) prior to enrolling in AS.420.639
AS.420.640,AAP Environmental Sciences,Urban Wildlife Ecology,
AS.420.641,AAP Environmental Sciences,Natural Resources Law and Policy,
AS.420.642,AAP Environmental Sciences,Public Lands-Private Interests:The Struggle for Common Ground,
AS.420.643,AAP Environmental Sciences,U.S. Environmental History,
AS.420.644,AAP Environmental Sciences,Sustainable Cities,
AS.420.645,AAP Environmental Sciences,Environmental and Natural Resource Security,
AS.420.646,AAP Environmental Sciences,Transportation Policy and Smart Growth,
AS.420.647,AAP Environmental Sciences,Environmental Racism and Inequality,
AS.420.648,AAP Environmental Sciences,Fossil Fuels and the Climate Crisis,
AS.420.650,AAP Environmental Sciences,International Environmental Policy,Must satisfy the prerequisite course (AS.420.614) prior to enrolling in AS.420.614
AS.420.651,AAP Environmental Sciences,Environmental Risk in Decision Making,
AS.420.654,AAP Environmental Sciences,Environmental & Natural Resource Economics,Must satisfy prerequisite course (AS.420.614) prior to enrolling in AS.420.654
AS.420.656,AAP Environmental Sciences,Environmental Impact Assessment & Decision Methods,
AS.420.659,AAP Environmental Sciences,Management for Environmental Results with Performance-based Measurement,
AS.420.660,AAP Environmental Sciences,Strategies in Watershed Management,
AS.420.662,AAP Environmental Sciences,Coral Reefs and Caves: The Geology of the  Bahamas,
AS.420.665,AAP Environmental Sciences,Climate Change on the Front Lines: The Study of Adaptation in Developing Countries,
AS.420.666,AAP Environmental Sciences,Community Development and Sustainability in developing countries,
AS.420.667,AAP Environmental Sciences,Analysis of Environmental & Ecological Data,
AS.420.668,AAP Environmental Sciences,Sustainable Food Systems,
AS.420.669,AAP Environmental Sciences,Applied Sustainability,
AS.420.670,AAP Environmental Sciences,Sustainability Leadership,
AS.420.671,AAP Environmental Sciences,Global Land Use Change,
AS.420.672,AAP Environmental Sciences,Environmental Ethics,
AS.420.673,AAP Environmental Sciences,Ecology and Evolution of the Galapagos,
AS.420.674,AAP Environmental Sciences,Applied Energy Policy in the 21st Century,
AS.420.675,AAP Environmental Sciences,Geology and Tropical Ecology of Hawai’i,
AS.420.676,AAP Environmental Sciences,Global Scarcity in Freshwater Systems: Crisis and Solutions,
AS.420.677,AAP Environmental Sciences,Spatial Statistics,
AS.420.679,AAP Environmental Sciences,International Water: Issues and Policies,
AS.420.681,AAP Environmental Sciences,Climate Change Adaptation and Development in Nepal,
AS.420.687,AAP Environmental Sciences,Science Communication and Policy Engagement,
AS.420.690,AAP Environmental Sciences,Environmental Health,
AS.420.692,AAP Environmental Sciences,"Blue Economy: Coastal Ecosystems, Living Shoreline Restoration and Aquaculture",
AS.420.703,AAP Environmental Sciences,Open Source GIScience for Environmental Research,
AS.420.704,AAP Environmental Sciences,Practical Engineering Approaches to Climate Adaptation,
AS.420.705,AAP Environmental Sciences,Natural Resources Sustainability: Field Study in Alaska,
AS.420.738,AAP Environmental Sciences,Newfoundland and Labrador: A Journey Through Time,
AS.420.800,AAP Environmental Sciences,Independent Research Project in Environmental Sciences and Policy,
AS.420.801,AAP Environmental Sciences,Independent Study,
AS.420.805,AAP Environmental Sciences,Internship and Capstone Thesis,
AS.420.888,AAP Environmental Sciences,Capstone or Thesis Continuation,
AS.455.610,AAP Film and Media,Foundations of Immersive Storytelling: Theory & Practice,
AS.455.611,AAP Film and Media,Screenwriting Workshop,
AS.455.613,AAP Film and Media,Stories Matter: How immersive experiences and new technologies create social change,
AS.455.615,AAP Film and Media,Episodic Writing Workshop 1 – The Pilot,
AS.455.618,AAP Film and Media,Episodic Writing Workshop II - The Writers' Room,
AS.455.619,AAP Film and Media,Business of Non Fiction Film & TV,
AS.455.620,AAP Film and Media,Fundamentals of Business 1,
AS.455.621,AAP Film and Media,A Filmmaker’s Guide to Protecting Your Work: Intro to Intellectual Property & Entertainment Law,
AS.455.624,AAP Film and Media,Social Impact Documentary Filmmaking,
AS.455.625,AAP Film and Media,Creative Producing & Line Producing,
AS.455.626,AAP Film and Media,Mixing Sound for Picture,
AS.455.630,AAP Film and Media,Recording Sound for Film,
AS.455.632,AAP Film and Media,Sound on Film I,
AS.455.634,AAP Film and Media,Designing Sound for Film and Media,
AS.455.635,AAP Film and Media,"Sales, Acquisitions and Marketing",
AS.455.637,AAP Film and Media,Comedy Writing - TV Spec Script,
AS.455.638,AAP Film and Media,Technology and the Future of Humanity,
AS.455.639,AAP Film and Media,The Art of “The Pitch”: Developing Skills and Mastering Professional Practices,
AS.455.640,AAP Film and Media,Graduate Filmmaking Studio I,
AS.455.641,AAP Film and Media,Graduate Filmmaking Studio II,
AS.455.642,AAP Film and Media,Advanced Cinematography Workshop,
AS.455.643,AAP Film and Media,The Future of Cinematic Gaming,
AS.455.644,AAP Film and Media,Podcasting Fundamentals,
AS.455.645,AAP Film and Media,Production for Creative Technology,
AS.455.646,AAP Film and Media,"TV Series Development: Pitching, Process, Pilot",
AS.455.647,AAP Film and Media,Virtual Production: A New Era of Filmmaking,
AS.455.648,AAP Film and Media,Directing Workshop,
AS.455.649,AAP Film and Media,Advanced Documentary Production,
AS.455.650,AAP Film and Media,Script to Screen,
AS.455.651,AAP Film and Media,Film Financing,
AS.455.652,AAP Film and Media,Digital Media: Storytelling & Strategy,
AS.455.653,AAP Film and Media,Stories that Matter: Creative Decision-Making through the Lens of Cinema,
AS.455.654,AAP Film and Media,Artificial Collaboration: AI & the Creative Process,
AS.455.655,AAP Film and Media,Producing the Narrative Short,
AS.455.656,AAP Film and Media,Screenwriting: the Narrative Short,
AS.455.666,AAP Film and Media,Scheduling and Budgeting for Film & TV : Producing with Movie Magic,
AS.455.800,AAP Film and Media,Capstone for Film & Media,
AS.455.801,AAP Film and Media,Independent Study,
AS.455.803,AAP Film and Media,Capstone Continuation for Film and Media (non-credit),
AS.430.600,AAP Geographic Information Systems,Web GIS,
AS.430.601,AAP Geographic Information Systems,Geographic Information Systems (GIS),
AS.430.602,AAP Geographic Information Systems,Remote Sensing: Systems and Applications,
AS.430.604,AAP Geographic Information Systems,Spatial Analytics,
AS.430.605,AAP Geographic Information Systems,Development and Management of GIS Projects,
